N°;DEPARTEMENT;COMMUNE;ARRONDISSEMENT;VILLAGE_QUARTIER;CENTRE DE VOTE;POSTE DE VOTE
1;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 01
2;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 02
3;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 03
4;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 04
5;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP KIRIGOU;PV 01
6;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;MAISON DES JEUNES D'ARBONGA;PV 01
7;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;SALLE DE REUNION TISSOUA;PV 01
8;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 01
9;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 02
10;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 03
11;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;EPP OROU GNONROU G/ A;PV 01
12;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP BATRAN;PV 01
13;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP YAMANIPOGOU;PV 01
14;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 01
15;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 02
16;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 03
17;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 01
18;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 02
