N°;DEPARTEMENT;COMMUNE;ARRONDISSEMENT;VILLAGE_QUARTIER;CENTRE DE VOTE;POSTE DE VOTE;LATITUDE;LONGITUDE
1;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 01;11.380405;2.433189
2;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 02;11.380405;2.433189
3;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 03;11.380405;2.433189
4;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 04;11.380405;2.433189
5;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP KIRIGOU;PV 01;11.380405;2.433189
6;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;MAISON DES JEUNES D'ARBONGA;PV 01;11.380405;2.433189
7;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;SALLE DE REUNION TISSOUA;PV 01;11.380405;2.433189
8;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 01;11.3058737;2.4316365
9;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 02;11.3058737;2.4316365
10;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 03;11.3058737;2.4316365
11;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;EPP OROU GNONROU G/ A;PV 01;11.3058737;2.4316365
12;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP BATRAN;PV 01;11.4017301;2.3697388
13;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP YAMANIPOGOU;PV 01;11.4017301;2.3697388
14;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 01;11.3038677;2.4373233
15;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 02;11.3038677;2.4373233
16;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 03;11.3038677;2.4373233
17;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 01;11.3038677;2.4373233
18;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 02;11.3038677;2.4373233
19;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 01;11.2943515;2.3980842
20;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 02;11.2943515;2.3980842
21;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 03;11.2943515;2.3980842
22;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP GBEGBABI;PV 01;11.2409072;2.4926661
23;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP GBEGBABI;PV 02;11.2409072;2.4926661
24;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP ILORI;PV 01;11.2409072;2.4926661
25;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;PLACE PUBLIQUE KPEWOUGOUBANROU;PV 01;11.2409072;2.4926661
26;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;MAGASIN GVPC ANSONKPIAN;PV 01;11.2409072;2.4926661
27;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;MAGASIN GVPC GBEGBABI;PV 01;11.2409072;2.4926661
28;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP GUINGUIRE;PV 01;11.4262183;2.4310523
29;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP GUINGUIRE;PV 02;11.4262183;2.4310523
30;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP PAMPIM-GUINGUIRE;PV 01;11.4262183;2.4310523
31;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP BOGOUKPIRA;PV 01;11.3289868;2.4128907
32;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP BOGOUKPIRA;PV 02;11.3289868;2.4128907
33;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP KINGAROU;PV 01;11.3289868;2.4128907
34;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP TOUMAROU;PV 01;11.3289868;2.4128907
35;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 01;11.2947496;2.4375925
36;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 02;11.2947496;2.4375925
37;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 03;11.2947496;2.4375925
38;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP/KOKIRE;PV 01;11.2947496;2.4375925
39;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP/TANTANNI;PV 01;11.2947496;2.4375925
40;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 01;11.2881836;2.4238582
41;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 02;11.2881836;2.4238582
42;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 03;11.2881836;2.4238582
43;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;MAISON DES JEUNES DE KOMMON;PV 01;11.2881836;2.4238582
44;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP BOUROU MBOURO;PV 01;11.4266148;2.4140913
45;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP KORI;PV 01;11.4266148;2.4140913
46;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP YIGUIWIROU;PV 01;11.4266148;2.4140913
47;ALIBORI;BANIKOARA;BANIKOARA;KPAGAGUEDOU;EPP KPAGAGUEDOU;PV 01;11.2855264;2.3845657
48;ALIBORI;BANIKOARA;BANIKOARA;KPAGAGUEDOU;EPP KPAGAGUEDOU;PV 02;11.2855264;2.3845657
49;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP BOGOUKPIRA;PV 01;11.2975268;2.4281033
50;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP BOGOUKPIRA;PV 02;11.2975268;2.4281033
51;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 01;11.2975268;2.4281033
52;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 02;11.2975268;2.4281033
53;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 03;11.2975268;2.4281033
54;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP TOUMAROU;PV 01;11.2975268;2.4281033
55;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;MAGASIN GVPC OROU GNONROU;PV 01;11.2975268;2.4281033
56;ALIBORI;BANIKOARA;BANIKOARA;SAMANGA;EPP ALBERE;PV 01;11.2708097;2.4530518
57;ALIBORI;BANIKOARA;BANIKOARA;SAMANGA;EPP SAMANGA;PV 01;11.2708097;2.4530518
58;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP SOUBOGOU;PV 01;11.3035924;2.4149844
59;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP SOUBOGOU;PV 02;11.3035924;2.4149844
60;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TIYO;PV 01;11.3035924;2.4149844
61;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TOKEY BANTA G/A ET B;PV 01;11.3035924;2.4149844
62;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TOKEY BANTA G/A ET B;PV 02;11.3035924;2.4149844
63;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP YAMANIPOGOU;PV 01;11.3035924;2.4149844
64;ALIBORI;BANIKOARA;BANIKOARA;WAGOU;EPP KPESSARASSON;PV 01;11.2777422;2.4061885
65;ALIBORI;BANIKOARA;BANIKOARA;WAGOU;EPP WAGOU;PV 01;11.2777422;2.4061885
66;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;BUREAU ACOODER;PV 01;11.3088517;2.426545
67;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;BUREAU ACOODER;PV 02;11.3088517;2.426545
68;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;EPP WETEROU;PV 01;11.3088517;2.426545
69;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;EPP WETEROU;PV 02;11.3088517;2.426545
70;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;LE STADE MUNICIPAL;PV 01;11.3088517;2.426545
71;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 01;11.2960636;2.4416354
72;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 02;11.2960636;2.4416354
